signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S505,2022-05-23,False,L,-0.9821,0.0009,9.2,0.8752
S506,2022-05-23,True,L,-1.0893,0.0009,9.2,0.8752
S507,2022-05-23,False,EOD-,-0.5,0.0009,9.2,0.8752
S508,2022-05-24,True,W,2.25,0.0042,8.98,0.8796
S509,2022-05-24,False,L,-0.875,0.0042,8.98,0.8796
S510,2022-05-24,False,L,-0.6786,0.0042,8.98,0.8796
S511,2022-05-24,False,L,-0.7679,0.0042,8.98,0.8796
S512,2022-05-24,False,L,-0.8214,0.0042,8.98,0.8796
S513,2022-05-24,False,L,-0.8393,0.0042,8.98,0.8796
S514,2022-05-24,False,L,-0.7054,0.0042,8.98,0.8796
S515,2022-05-24,False,L,-0.6518,0.0042,8.98,0.8796
S516,2022-05-24,False,L,-0.5893,0.0042,8.98,0.8796
S517,2022-05-25,False,L,-1.3393,0.0131,8.77,0.8699
S518,2022-05-25,False,L,-1.5357,0.0131,8.77,0.8699
S519,2022-05-25,False,L,-1.6429,0.0131,8.77,0.8699
S520,2022-05-25,False,L,-1.0893,0.0131,8.77,0.8699
S521,2022-05-25,False,L,-0.8571,0.0131,8.77,0.8699
S522,2022-05-25,False,EOD+,0.75,0.0131,8.77,0.8699
S523,2022-05-25,False,EOD+,0.95,0.0131,8.77,0.8699
S524,2022-05-25,True,EOD+,0.9,0.0131,8.77,0.8699
S525,2022-05-25,False,EOD+,0.95,0.0131,8.77,0.8699
S526,2022-05-26,False,W,2.475,0.0047,8.77,0.8517
S527,2022-05-26,False,W,2.3143,0.0047,8.77,0.8517
S528,2022-05-26,False,W,2.4589,0.0047,8.77,0.8517
S529,2022-05-26,False,W,1.5268,0.0047,8.77,0.8517
S530,2022-05-26,False,W,1.8321,0.0047,8.77,0.8517
S531,2022-05-26,False,W,1.7839,0.0047,8.77,0.8517
S532,2022-05-27,False,EOD-,-0.1,0.0212,8.61,0.8436
S533,2022-05-27,False,EOD-,0.0,0.0212,8.61,0.8436
S534,2022-05-27,False,W,0.9482,0.0212,8.61,0.8436
S535,2022-05-27,False,W,0.7071,0.0212,8.61,0.8436
S536,2022-05-27,False,EOD-,-0.15,0.0212,8.61,0.8436
S537,2022-05-27,False,L,-0.3839,0.0212,8.61,0.8436
S538,2022-05-30,False,W,1.7196,0.0016,8.51,0.8755
S539,2022-05-30,False,EOD-,-0.45,0.0016,8.51,0.8755
S540,2022-05-31,False,W,2.475,0.003,8.46,0.8151
S541,2022-05-31,False,W,1.4304,0.003,8.46,0.8151
S542,2022-05-31,False,W,1.1732,0.003,8.46,0.8151
S543,2022-05-31,False,W,1.1732,0.003,8.46,0.8151
S544,2022-05-31,False,EOD+,1.45,0.003,8.46,0.8151
S545,2022-06-01,False,L,-1.8839,0.0157,8.66,0.8083
S546,2022-06-02,False,EOD-,-0.9,0.0158,8.61,0.8176
S547,2022-06-02,False,EOD+,0.3,0.0158,8.61,0.8176
S548,2022-06-02,False,EOD-,-0.05,0.0158,8.61,0.8176
S549,2022-06-02,False,EOD-,0.0,0.0158,8.61,0.8176
S550,2022-06-02,False,EOD-,0.0,0.0158,8.61,0.8176
S551,2022-06-02,False,EOD+,0.05,0.0158,8.61,0.8176
S552,2022-06-03,False,L,-0.8304,0.0282,8.51,0.8276
S553,2022-06-03,False,L,-0.75,0.0282,8.51,0.8276
S554,2022-06-03,False,L,-0.7232,0.0282,8.51,0.8276
S555,2022-06-03,False,L,-0.8125,0.0282,8.51,0.8276
S556,2022-06-03,False,L,-0.7143,0.0282,8.51,0.8276
S557,2022-06-03,False,L,-0.7054,0.0282,8.51,0.8276
S558,2022-06-03,False,L,-0.5625,0.0282,8.51,0.8276
S559,2022-06-06,False,EOD-,-0.15,0.045,8.09,0.8485
S560,2022-06-06,False,EOD-,-0.05,0.045,8.09,0.8485
S561,2022-06-06,False,EOD-,-0.05,0.045,8.09,0.8485
S562,2022-06-06,False,EOD-,0.0,0.045,8.09,0.8485
S563,2022-06-06,False,EOD-,-0.05,0.045,8.09,0.8485
S564,2022-06-06,False,L,-0.5625,0.045,8.09,0.8485
S565,2022-06-06,False,L,-0.4554,0.045,8.09,0.8485
S566,2022-06-06,False,L,-0.4821,0.045,8.09,0.8485
S567,2022-06-06,False,L,-0.5357,0.045,8.09,0.8485
S568,2022-06-06,False,L,-0.5536,0.045,8.09,0.8485
S569,2022-06-07,False,EOD-,0.0,0.0449,7.41,0.8503
S570,2022-06-07,False,EOD+,0.25,0.0449,7.41,0.8503
S571,2022-06-07,False,EOD+,0.2,0.0449,7.41,0.8503
S572,2022-06-07,False,EOD-,-0.2,0.0449,7.41,0.8503
S573,2022-06-07,False,EOD-,-0.2,0.0449,7.41,0.8503
S574,2022-06-07,False,EOD-,-0.25,0.0449,7.41,0.8503
S575,2022-06-07,False,EOD-,-0.15,0.0449,7.41,0.8503
S576,2022-06-07,False,EOD+,0.05,0.0449,7.41,0.8503
S577,2022-06-07,False,EOD+,0.05,0.0449,7.41,0.8503
S578,2022-06-07,False,EOD+,0.05,0.0449,7.41,0.8503
S579,2022-06-07,False,EOD-,0.0,0.0449,7.41,0.8503
S580,2022-06-07,False,EOD-,0.0,0.0449,7.41,0.8503
S581,2022-06-07,False,EOD-,0.0,0.0449,7.41,0.8503
S582,2022-06-08,False,L,-0.875,0.0363,7.13,0.8625
S583,2022-06-08,False,L,-1.0625,0.0363,7.13,0.8625
S584,2022-06-08,False,EOD-,-0.05,0.0363,7.13,0.8625
S585,2022-06-08,False,EOD-,-0.1,0.0363,7.13,0.8625
S586,2022-06-08,False,EOD-,-0.05,0.0363,7.13,0.8625
S587,2022-06-08,False,EOD-,-0.1,0.0363,7.13,0.8625
S588,2022-06-08,False,L,-1.0982,0.0363,7.13,0.8625
S589,2022-06-08,False,L,-0.4732,0.0363,7.13,0.8625
S590,2022-06-08,False,L,-0.4286,0.0363,7.13,0.8625
S591,2022-06-08,False,L,-0.4286,0.0363,7.13,0.8625
S592,2022-06-08,False,EOD+,0.1,0.0363,7.13,0.8625
S593,2022-06-08,False,EOD+,0.15,0.0363,7.13,0.8625
S594,2022-06-08,False,EOD+,0.05,0.0363,7.13,0.8625
S595,2022-06-09,False,EOD+,0.6,0.0295,7.34,0.903
S596,2022-06-09,False,L,-0.5804,0.0295,7.34,0.903
S597,2022-06-09,False,EOD+,0.4,0.0295,7.34,0.903
S598,2022-06-09,False,EOD+,0.6,0.0295,7.34,0.903
S599,2022-06-10,False,L,-1.4107,0.0286,7.12,0.8916
S600,2022-06-10,False,EOD-,-0.45,0.0286,7.12,0.8916
S601,2022-06-10,False,EOD-,-0.3,0.0286,7.12,0.8916
S602,2022-06-10,False,EOD-,-0.45,0.0286,7.12,0.8916
S603,2022-06-10,False,L,-0.8304,0.0286,7.12,0.8916
S604,2022-06-10,False,L,-0.8482,0.0286,7.12,0.8916
S605,2022-06-10,False,L,-0.8482,0.0286,7.12,0.8916
S606,2022-06-10,False,L,-0.5625,0.0286,7.12,0.8916
S607,2022-06-13,False,L,-1.3571,0.0267,7.29,0.8787
S608,2022-06-13,False,EOD-,-1.45,0.0267,7.29,0.8787
S609,2022-06-13,False,L,-0.8036,0.0267,7.29,0.8787
S610,2022-06-14,False,EOD-,-0.6,0.0311,7.47,0.8815
S611,2022-06-14,False,EOD-,-0.55,0.0311,7.47,0.8815
S612,2022-06-14,False,EOD-,-0.85,0.0311,7.47,0.8815
S613,2022-06-14,False,L,-1.2143,0.0311,7.47,0.8815
S614,2022-06-14,False,L,-0.6607,0.0311,7.47,0.8815
S615,2022-06-15,False,L,-1.2589,0.0034,6.92,0.8622
S616,2022-06-15,False,L,-1.0536,0.0034,6.92,0.8622
S617,2022-06-15,False,L,-0.5625,0.0034,6.92,0.8622
S618,2022-06-15,False,L,-0.4732,0.0034,6.92,0.8622
S619,2022-06-15,False,L,-0.625,0.0034,6.92,0.8622
S620,2022-06-15,False,L,-0.625,0.0034,6.92,0.8622
S621,2022-06-15,False,EOD+,0.15,0.0034,6.92,0.8622
S622,2022-06-16,False,L,-1.0179,0.0409,6.64,0.8287
S623,2022-06-16,False,L,-1.0625,0.0409,6.64,0.8287
S624,2022-06-16,False,L,-0.8661,0.0409,6.64,0.8287
S625,2022-06-16,False,L,-0.7768,0.0409,6.64,0.8287
S626,2022-06-16,False,L,-0.7411,0.0409,6.64,0.8287
S627,2022-06-16,False,L,-0.7321,0.0409,6.64,0.8287
S628,2022-06-16,False,L,-0.75,0.0409,6.64,0.8287
S629,2022-06-16,True,L,-0.9732,0.0409,6.64,0.8287
S630,2022-06-16,False,L,-1.1071,0.0409,6.64,0.8287
S631,2022-06-16,False,L,-1.1607,0.0409,6.64,0.8287
S632,2022-06-17,False,L,-1.7679,0.0465,6.35,0.8182
S633,2022-06-17,False,L,-1.1339,0.0465,6.35,0.8182
S634,2022-06-17,False,L,-1.0179,0.0465,6.35,0.8182
S635,2022-06-17,False,L,-0.9821,0.0465,6.35,0.8182
S636,2022-06-17,False,L,-0.875,0.0465,6.35,0.8182
S637,2022-06-17,False,L,-0.9196,0.0465,6.35,0.8182
S638,2022-06-17,False,L,-0.9196,0.0465,6.35,0.8182
S639,2022-06-20,False,L,-2.4554,0.0432,6.55,0.8142
S640,2022-06-20,False,L,-1.9732,0.0432,6.55,0.8142
S641,2022-06-20,False,L,-1.375,0.0432,6.55,0.8142
S642,2022-06-20,False,EOD-,-0.45,0.0432,6.55,0.8142
S643,2022-06-21,False,W,3.3107,0.0428,6.58,0.814
S644,2022-06-21,False,EOD+,1.15,0.0428,6.58,0.814
S645,2022-06-21,False,W,2.25,0.0428,6.58,0.814
S646,2022-06-21,False,L,-1.0982,0.0428,6.58,0.814
S647,2022-06-21,False,L,-1.125,0.0428,6.58,0.814
S648,2022-06-22,False,L,-1.2679,0.0413,6.67,0.801
S649,2022-06-22,False,L,-0.8839,0.0413,6.67,0.801
S650,2022-06-22,False,L,-0.9286,0.0413,6.67,0.801
S651,2022-06-22,False,L,-0.9286,0.0413,6.67,0.801
S652,2022-06-22,False,L,-0.7589,0.0413,6.67,0.801
