Price,Close,High,Low,Open,Volume,MA20,MA50,EMA200,ADX,Actual_Regime,GSS_Score,GSS_Prediction,Match
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,
Date,,,,,,,,,,,,,
2023-02-09,17893.44921875,17916.900390625,17779.80078125,17885.5,260900,17872.00244140625,18122.9709765625,17597.71394096532,0.0,SIDEWAYS,10,BEAR,False
2023-02-10,17856.5,17876.94921875,17801.0,17847.55078125,232000,17871.91748046875,18103.8509765625,17600.30250959459,0.0,BEAR,30,SIDEWAYS,False
2023-02-13,17770.900390625,17880.69921875,17719.75,17859.099609375,231300,17862.63251953125,18085.3469921875,17602.008865598946,0.0,BEAR,10,BEAR,True
2023-02-14,17929.849609375,17954.55078125,17800.05078125,17840.349609375,244500,17864.38251953125,18069.92296875,17605.28782751444,0.0,SIDEWAYS,10,BEAR,False
2023-02-15,18015.849609375,18034.099609375,17853.80078125,17896.599609375,229300,17862.5099609375,18057.3849609375,17609.393928488753,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-02-16,18035.849609375,18134.75,18000.650390625,18094.75,230200,17856.0349609375,18046.891953125,17613.658769957416,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-02-17,17944.19921875,18034.25,17884.599609375,17974.849609375,208100,17847.85244140625,18033.5889453125,17616.964228424513,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-02-20,17844.599609375,18004.349609375,17818.400390625,17965.55078125,174600,17838.69990234375,18020.5489453125,17619.24050578884,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-02-21,17826.69921875,17924.900390625,17800.30078125,17905.80078125,198200,17824.10732421875,18007.139921875,17621.31492074097,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-02-22,17554.30078125,17772.5,17529.44921875,17755.349609375,204000,17795.90732421875,17986.0659375,17620.644867743384,0.0,BEAR,30,SIDEWAYS,False
2023-02-23,17511.25,17620.05078125,17455.400390625,17574.650390625,240800,17776.87236328125,17963.084921875,17619.551116339786,0.0,BEAR,-10,BEAR,True
2023-02-24,17465.80078125,17599.75,17421.80078125,17591.349609375,209400,17769.944921875,17944.1029296875,17618.013963953046,0.0,BEAR,-10,BEAR,True
2023-02-27,17392.69921875,17451.599609375,17299.0,17428.599609375,246400,17757.132421875,17926.5769140625,17615.76143774861,0.0,BEAR,-10,BEAR,True
