symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
BANDHANBNK,MA-alone,test,LONG gated,3,-2.22,0.101,-2.82,0.015
BANDHANBNK,MA-alone,test,COMBINED baseline,1308,35.51,1.055,-201.15,0.746
BANDHANBNK,MA-alone,test,COMBINED gated,650,84.8,1.28,-32.49,0.913
BANDHANBNK,Model B,train,SHORT baseline,1918,914.21,1.424,208.33,1.082
BANDHANBNK,Model B,train,SHORT gated,1216,657.6,1.489,208.42,1.131
BANDHANBNK,Model B,train,LONG baseline,1964,-500.76,0.828,-1220.07,0.64
BANDHANBNK,Model B,train,LONG gated,752,-36.34,0.966,-309.64,0.752
BANDHANBNK,Model B,train,COMBINED baseline,3882,413.44,1.082,-1011.74,0.829
BANDHANBNK,Model B,train,COMBINED gated,1968,621.26,1.257,-101.23,0.964
BANDHANBNK,Model B,test,SHORT baseline,650,86.58,1.285,-30.68,0.918
BANDHANBNK,Model B,test,SHORT gated,418,69.32,1.363,-6.27,0.973
BANDHANBNK,Model B,test,LONG baseline,658,-51.08,0.85,-170.46,0.595
BANDHANBNK,Model B,test,LONG gated,229,-10.86,0.906,-52.36,0.632
BANDHANBNK,Model B,test,COMBINED baseline,1308,35.51,1.055,-201.15,0.746
BANDHANBNK,Model B,test,COMBINED gated,647,58.46,1.19,-58.63,0.844
BHARTIARTL,Model A,train,SHORT baseline,2881,130.31,1.034,-1254.34,0.734
BHARTIARTL,Model A,train,SHORT gated,1090,4.37,1.003,-516.14,0.713
BHARTIARTL,Model A,train,LONG baseline,2754,-200.0,0.951,-1547.35,0.688
BHARTIARTL,Model A,train,LONG gated,1707,-168.68,0.933,-1003.97,0.672
BHARTIARTL,Model A,train,COMBINED baseline,5635,-69.69,0.991,-2801.69,0.711
BHARTIARTL,Model A,train,COMBINED gated,2797,-164.31,0.959,-1520.11,0.687
BHARTIARTL,Model A,test,SHORT baseline,929,-122.29,0.956,-1504.43,0.585
BHARTIARTL,Model A,test,SHORT gated,318,-105.74,0.888,-579.18,0.532
BHARTIARTL,Model A,test,LONG baseline,925,408.71,1.156,-973.88,0.719
BHARTIARTL,Model A,test,LONG gated,599,330.39,1.201,-563.6,0.742
BHARTIARTL,Model A,test,COMBINED baseline,1854,286.42,1.053,-2478.31,0.651
BHARTIARTL,Model A,test,COMBINED gated,917,224.64,1.087,-1142.78,0.667
BHARTIARTL,MA-alone,train,SHORT baseline,2837,139.26,1.036,-1235.48,0.735
BHARTIARTL,MA-alone,train,SHORT gated,881,108.93,1.087,-353.29,0.769
BHARTIARTL,MA-alone,train,LONG baseline,2718,-218.72,0.946,-1558.3,0.683
BHARTIARTL,MA-alone,train,LONG gated,1841,20.62,1.008,-848.12,0.73
BHARTIARTL,MA-alone,train,COMBINED baseline,5555,-79.46,0.99,-2793.77,0.709
BHARTIARTL,MA-alone,train,COMBINED gated,2722,129.56,1.034,-1201.41,0.743
BHARTIARTL,MA-alone,test,SHORT baseline,914,-112.98,0.959,-1483.15,0.588
