symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,zpnl
TATAMOTORS,2019-11-08 09:30:00,117.75,116.59285714285714,120.93214285714286,2019-11-08 12:20:00,120.93214285714286,W,3.182142857142864,3.0581349486214355
TATAMOTORS,2019-11-11 09:50:00,117.6,116.10714285714285,121.70535714285714,2019-11-11 15:00:00,117.55,EOD-,-0.04999999999999716,-0.17177942089999715
TATAMOTORS,2019-11-13 09:20:00,118.85,117.62142857142857,122.22857142857141,2019-11-13 14:30:00,117.62142857142857,L,-1.2285714285714278,-1.3508896716857135
TATAMOTORS,2019-11-14 10:50:00,115.45,114.32857142857144,118.53392857142856,2019-11-14 11:50:00,114.32857142857144,L,-1.1214285714285666,-1.240293775814281
TATAMOTORS,2019-11-14 13:05:00,114.7,114.01428571428572,116.58571428571429,2019-11-14 15:00:00,115.2,EOD+,0.5,0.3808716606
TATAMOTORS,2019-11-15 10:40:00,117.55,116.52857142857142,120.35892857142856,2019-11-15 11:05:00,116.52857142857142,L,-1.0214285714285722,-1.1425331216142864
TATAMOTORS,2019-11-15 12:40:00,117.3,116.56428571428572,119.32321428571427,2019-11-15 14:40:00,116.56428571428572,L,-0.7357142857142804,-0.8567431417571376
TATAMOTORS,2019-11-18 09:45:00,117.15,115.78571428571429,120.90178571428572,2019-11-18 15:00:00,117.25,EOD+,0.09999999999999432,-0.021409516400005685
TATAMOTORS,2019-11-19 09:20:00,117.85,117.10714285714285,119.89285714285714,2019-11-19 09:25:00,117.10714285714285,L,-0.7428571428571473,-0.8644511140285759
TATAMOTORS,2019-11-19 12:20:00,116.45,115.88571428571429,118.00178571428572,2019-11-19 12:50:00,115.88571428571429,L,-0.5642857142857167,-0.6845440854428596
TATAMOTORS,2019-11-19 14:00:00,116.15,115.54285714285714,117.81964285714288,2019-11-19 14:25:00,115.54285714285714,L,-0.6071428571428612,-0.7270629958714326
TATAMOTORS,2019-11-20 09:55:00,116.05,115.07142857142857,118.74107142857143,2019-11-20 14:40:00,115.07142857142857,L,-0.9785714285714278,-1.0981497495857135
TATAMOTORS,2019-11-21 11:00:00,116.0,115.15,118.33749999999999,2019-11-21 12:15:00,115.15,L,-0.8499999999999943,-0.9696089968999942
TATAMOTORS,2019-11-22 12:55:00,111.0,110.47142857142858,112.45357142857144,2019-11-22 15:00:00,111.45,EOD+,0.45000000000000284,0.33473623530000285
TATAMOTORS,2019-11-25 10:55:00,112.0,111.14999999999999,114.3375,2019-11-25 14:35:00,114.3375,W,2.3375000000000057,2.2199897694750055
TATAMOTORS,2019-11-26 09:25:00,114.4,113.52857142857144,116.79642857142858,2019-11-26 10:30:00,113.52857142857144,L,-0.8714285714285666,-0.9893665247142809
TATAMOTORS,2019-11-26 12:10:00,113.45,112.97142857142858,114.76607142857144,2019-11-26 13:00:00,114.76607142857144,W,1.3160714285714334,1.1977144210607191
TATAMOTORS,2019-11-26 13:30:00,114.55,113.9357142857143,116.23928571428569,2019-11-26 14:00:00,113.9357142857143,L,-0.6142857142856997,-0.7325439723428425
TATAMOTORS,2019-11-27 10:55:00,115.75,115.04285714285714,117.69464285714285,2019-11-27 10:55:00,115.04285714285714,L,-0.7071428571428555,-0.826584530471427
TATAMOTORS,2019-11-27 14:55:00,114.9,114.31428571428572,116.51071428571429,2019-11-27 15:00:00,114.85,EOD-,-0.05000000000001137,-0.16898272850001136
TATAMOTORS,2019-11-28 11:00:00,113.1,112.55714285714285,114.59285714285714,2019-11-28 15:00:00,113.45,EOD+,0.3500000000000085,0.23262517070000854
TATAMOTORS,2019-11-29 13:05:00,113.2,112.4,115.4,2019-11-29 13:30:00,112.4,L,-0.7999999999999972,-0.9167407935999972
TATAMOTORS,2019-12-02 09:35:00,111.9,110.60714285714286,115.45535714285714,2019-12-02 11:05:00,110.60714285714286,L,-1.2928571428571445,-1.407935259328573
TATAMOTORS,2019-12-02 11:30:00,111.25,110.49285714285715,113.33214285714284,2019-12-02 15:00:00,110.8,EOD-,-0.45000000000000284,-0.5649454523000028
TATAMOTORS,2019-12-03 13:15:00,109.0,108.33571428571429,110.8267857142857,2019-12-03 15:00:00,109.45,EOD+,0.45000000000000284,0.3368078593000029
TATAMOTORS,2019-12-04 12:15:00,114.1,112.89999999999999,117.4,2019-12-04 15:00:00,116.15,EOD+,2.0500000000000114,1.9304989685000113
TATAMOTORS,2019-12-05 12:45:00,115.55,114.65714285714286,118.00535714285714,2019-12-05 13:20:00,114.65714285714286,L,-0.8928571428571388,-1.0119725355285674
TATAMOTORS,2019-12-06 09:20:00,114.85,113.87142857142857,117.54107142857141,2019-12-06 09:25:00,113.87142857142857,L,-0.9785714285714278,-1.0969067751857136
TATAMOTORS,2019-12-06 10:00:00,114.65,113.54285714285714,117.69464285714285,2019-12-06 10:35:00,113.54285714285714,L,-1.1071428571428612,-1.2251885748714326
TATAMOTORS,2019-12-06 14:50:00,111.2,110.29285714285714,113.69464285714285,2019-12-06 15:00:00,111.35,EOD+,0.14999999999999147,0.03472149469999147
TATAMOTORS,2019-12-09 11:15:00,113.8,112.85714285714285,116.39285714285714,2019-12-09 11:25:00,112.85714285714285,L,-0.9428571428571502,-1.0601277942285787
TATAMOTORS,2019-12-09 13:25:00,113.0,112.42142857142856,114.59107142857144,2019-12-09 14:00:00,112.42142857142856,L,-0.5785714285714363,-0.695247085385722
TATAMOTORS,2019-12-10 09:20:00,111.7,110.55714285714286,114.84285714285716,2019-12-10 10:05:00,110.55714285714286,L,-1.1428571428571388,-1.2578243078285674
TATAMOTORS,2019-12-11 10:05:00,110.35,109.45714285714286,112.80535714285713,2019-12-11 12:15:00,109.45714285714286,L,-0.8928571428571388,-1.0065863131285673
TATAMOTORS,2019-12-11 13:50:00,109.55,108.75714285714285,111.73035714285714,2019-12-11 15:00:00,110.2,EOD+,0.6500000000000057,0.5361098815000057
TATAMOTORS,2019-12-16 12:05:00,120.05,119.3642857142857,121.9357142857143,2019-12-16 15:00:00,120.4,EOD+,0.3500000000000085,0.22542627730000853
TATAMOTORS,2019-12-17 12:00:00,121.6,121.08571428571429,123.0142857142857,2019-12-17 12:10:00,123.0142857142857,W,1.414285714285711,1.2874238437428538
TATAMOTORS,2019-12-17 14:30:00,124.25,123.48571428571428,126.35178571428573,2019-12-17 15:00:00,124.0,EOD-,-0.25,-0.3785392895
TATAMOTORS,2019-12-18 10:30:00,125.3,124.18571428571427,128.36428571428573,2019-12-18 13:10:00,124.18571428571427,L,-1.114285714285728,-1.243358248342871
TATAMOTORS,2019-12-18 13:55:00,124.6,123.78571428571428,126.83928571428571,2019-12-18 15:00:00,125.25,EOD+,0.6500000000000057,0.5205209109000057
TATAMOTORS,2019-12-19 10:15:00,122.4,120.42857142857143,127.82142857142858,2019-12-19 15:00:00,123.05,EOD+,0.6499999999999915,0.5227996972999915
TATAMOTORS,2019-12-20 10:25:00,124.25,123.27142857142857,126.94107142857143,2019-12-20 13:30:00,123.27142857142857,L,-0.9785714285714278,-1.1066434079857135
TATAMOTORS,2019-12-23 11:45:00,121.1,119.98571428571428,124.16428571428573,2019-12-23 14:50:00,119.98571428571428,L,-1.1142857142857139,-1.2390078379428566
TATAMOTORS,2019-12-24 10:05:00,121.6,120.8142857142857,123.76071428571429,2019-12-24 13:50:00,120.8142857142857,L,-0.7857142857142918,-0.911165063057149
TATAMOTORS,2019-12-26 11:00:00,120.65,120.21428571428572,121.84821428571428,2019-12-26 13:00:00,120.21428571428572,L,-0.4357142857142833,-0.5604055337571404
TATAMOTORS,2019-12-26 14:45:00,120.4,119.98571428571428,121.53928571428574,2019-12-26 15:00:00,120.25,EOD-,-0.15000000000000568,-0.2746155539000057
TATAMOTORS,2019-12-27 10:10:00,120.7,120.01428571428572,122.58571428571429,2019-12-27 15:00:00,121.0,EOD+,0.29999999999999716,0.17478506979999717
TATAMOTORS,2019-12-30 10:50:00,122.2,121.65714285714286,123.69285714285715,2019-12-30 12:05:00,123.69285714285715,W,1.4928571428571473,1.3653233889285759
TATAMOTORS,2019-12-31 10:00:00,126.2,125.06428571428572,129.3232142857143,2019-12-31 11:05:00,125.06428571428572,L,-1.1357142857142861,-1.2657053061571433
TATAMOTORS,2019-12-31 11:45:00,125.65,124.92857142857143,127.63392857142857,2019-12-31 12:25:00,127.63392857142857,W,1.9839285714285637,1.852506289939278
TATAMOTORS,2019-12-31 13:50:00,127.9,127.2357142857143,129.7267857142857,2019-12-31 15:00:00,128.15,EOD+,0.25,0.1173592937
TATAMOTORS,2020-01-01 10:10:00,127.9,126.92857142857144,130.57142857142856,2020-01-01 10:45:00,126.92857142857144,L,-0.9714285714285609,-1.1032858461142752
