symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,touch_dt,atr_pct_at_touch,hidden_atr_pct_rollmean40,bucket
TATAMOTORS,2023-05-24 13:45:00,359.5,360.8071428571429,356.55892857142857,2023-05-24 15:00:00,358.0,EOD+,1.5,2023-05-24 13:40:00,0.1818001192131947,0.1771330458265874,Low vol
TATAMOTORS,2023-05-25 12:00:00,351.55,352.5,349.4125,2023-05-25 14:25:00,352.5,L,-0.9499999999999886,2023-05-25 11:55:00,0.1350774918242554,0.234426331104125,High vol
TATAMOTORS,2023-05-26 10:25:00,354.25,356.1714285714286,349.9267857142857,2023-05-26 11:45:00,356.1714285714286,L,-1.921428571428578,2023-05-26 10:20:00,0.2711966932150427,0.1806953196234288,Mid vol
TATAMOTORS,2023-05-26 13:15:00,355.5,356.3928571428571,353.49107142857144,2023-05-26 13:35:00,356.3928571428571,L,-0.8928571428571104,2023-05-26 13:10:00,0.1255776572232245,0.1652361984606001,Low vol
TATAMOTORS,2023-05-26 14:55:00,356.65,357.7285714285714,354.2232142857142,2023-05-26 15:00:00,356.7,EOD-,-0.0500000000000113,2023-05-26 14:50:00,0.1512086679617898,0.1420508257562961,Low vol
TATAMOTORS,2023-05-29 11:45:00,359.65,360.4357142857143,357.8821428571428,2023-05-29 11:50:00,360.4357142857143,L,-0.7857142857142776,2023-05-29 11:40:00,0.1092331830549542,0.2038748235130594,Mid vol
TATAMOTORS,2023-05-29 13:05:00,359.9,360.8,357.875,2023-05-29 15:00:00,359.3,EOD+,0.5999999999999659,2023-05-29 13:00:00,0.1250347318699629,0.1724154444816384,Low vol
TATAMOTORS,2023-05-30 10:05:00,359.1,360.5357142857143,355.8696428571429,2023-05-30 15:00:00,357.35,EOD+,1.75,2023-05-30 10:00:00,0.199876692985421,0.1544882981998804,Low vol
TATAMOTORS,2023-05-31 14:50:00,361.8,362.6785714285714,359.8232142857143,2023-05-31 15:00:00,361.9,EOD-,-0.0999999999999659,2023-05-31 14:45:00,0.1214167258943385,0.1540201250540826,Low vol
TATAMOTORS,2023-06-02 10:00:00,368.2,370.74285714285713,362.47857142857146,2023-06-02 15:00:00,368.95,EOD-,-0.75,2023-06-02 09:55:00,0.3452623411890205,0.2132845126158609,Mid vol
TATAMOTORS,2023-06-05 12:40:00,375.8,377.11428571428576,372.8428571428572,2023-06-05 13:35:00,377.11428571428576,L,-1.3142857142857451,2023-06-05 12:35:00,0.1749115935967155,0.2237154379804901,High vol
TATAMOTORS,2023-06-06 14:50:00,381.35,382.28571428571433,379.2446428571429,2023-06-06 15:00:00,381.9,EOD-,-0.5499999999999545,2023-06-06 14:45:00,0.1226844481072882,0.1318569555583229,Low vol
TATAMOTORS,2023-06-07 09:45:00,381.3,383.2642857142857,376.8803571428572,2023-06-07 10:20:00,383.2642857142857,L,-1.9642857142857224,2023-06-07 09:40:00,0.2575436887748391,0.1367533874999703,Low vol
TATAMOTORS,2023-06-08 14:35:00,385.95,388.05,381.225,2023-06-08 15:00:00,385.2,EOD+,0.75,2023-06-08 14:30:00,0.2720912153407617,0.2657375612868885,High vol
TATAMOTORS,2023-06-09 10:45:00,387.85,389.8142857142857,383.4303571428573,2023-06-09 15:00:00,386.5,EOD+,1.3500000000000227,2023-06-09 10:40:00,0.2532274995856245,0.2952908401848282,High vol
