symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
BANDHANBNK,MA-alone,train,SHORT gated (flipped),118,71.97,1.403,34.28,1.172
BANDHANBNK,MA-alone,train,LONG baseline,1964,-500.76,0.828,-1220.07,0.64
BANDHANBNK,MA-alone,train,LONG gated (flipped),1820,-422.31,0.837,-1093.43,0.64
BANDHANBNK,MA-alone,train,COMBINED baseline,3882,413.44,1.082,-1011.74,0.829
BANDHANBNK,MA-alone,train,COMBINED gated (flipped),1938,-350.34,0.873,-1059.15,0.672
BANDHANBNK,MA-alone,test,SHORT baseline,650,86.58,1.285,-30.68,0.918
BANDHANBNK,MA-alone,test,SHORT gated (flipped),3,-0.44,0.867,-1.01,0.708
BANDHANBNK,MA-alone,test,LONG baseline,658,-51.08,0.85,-170.46,0.595
BANDHANBNK,MA-alone,test,LONG gated (flipped),655,-48.86,0.856,-167.64,0.599
BANDHANBNK,MA-alone,test,COMBINED baseline,1308,35.51,1.055,-201.15,0.746
BANDHANBNK,MA-alone,test,COMBINED gated (flipped),658,-49.29,0.856,-168.66,0.6
BANDHANBNK,Model B,train,SHORT baseline,1918,914.21,1.424,208.33,1.082
BANDHANBNK,Model B,train,SHORT gated (flipped),702,256.61,1.317,-0.08,1.0
BANDHANBNK,Model B,train,LONG baseline,1964,-500.76,0.828,-1220.07,0.64
BANDHANBNK,Model B,train,LONG gated (flipped),1212,-464.42,0.746,-910.43,0.575
BANDHANBNK,Model B,train,COMBINED baseline,3882,413.44,1.082,-1011.74,0.829
BANDHANBNK,Model B,train,COMBINED gated (flipped),1914,-207.81,0.921,-910.52,0.706
BANDHANBNK,Model B,test,SHORT baseline,650,86.58,1.285,-30.68,0.918
BANDHANBNK,Model B,test,SHORT gated (flipped),232,17.26,1.154,-24.41,0.823
BANDHANBNK,Model B,test,LONG baseline,658,-51.08,0.85,-170.46,0.595
BANDHANBNK,Model B,test,LONG gated (flipped),429,-40.22,0.821,-118.11,0.576
BANDHANBNK,Model B,test,COMBINED baseline,1308,35.51,1.055,-201.15,0.746
BANDHANBNK,Model B,test,COMBINED gated (flipped),661,-22.95,0.932,-142.52,0.658
BHARTIARTL,Model A,train,SHORT baseline,2881,130.31,1.034,-1254.34,0.734
BHARTIARTL,Model A,train,SHORT gated (flipped),1791,125.94,1.052,-738.2,0.748
BHARTIARTL,Model A,train,LONG baseline,2754,-200.0,0.951,-1547.35,0.688
BHARTIARTL,Model A,train,LONG gated (flipped),1047,-31.32,0.98,-543.38,0.713
BHARTIARTL,Model A,train,COMBINED baseline,5635,-69.69,0.991,-2801.69,0.711
BHARTIARTL,Model A,train,COMBINED gated (flipped),2838,94.62,1.024,-1281.58,0.734
BHARTIARTL,Model A,test,SHORT baseline,929,-122.29,0.956,-1504.43,0.585
BHARTIARTL,Model A,test,SHORT gated (flipped),611,-16.55,0.991,-925.25,0.613
BHARTIARTL,Model A,test,LONG baseline,925,408.71,1.156,-973.88,0.719
BHARTIARTL,Model A,test,LONG gated (flipped),326,78.32,1.081,-410.28,0.679
BHARTIARTL,Model A,test,COMBINED baseline,1854,286.42,1.053,-2478.31,0.651
BHARTIARTL,Model A,test,COMBINED gated (flipped),937,61.77,1.022,-1335.53,0.636
