date,ADANIPORTS,ASHOKLEY,AXISBANK,BANDHANBNK,BHARTIARTL,CIPLA,COALINDIA,DABUR,DIVISLAB,HDFCBANK,HINDALCO,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,NATIONALUM,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TECHM,VEDL,WIPRO
2025-01-06,down,up,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,up,down,down,down,down,up
2025-01-07,down,up,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,up,up,down,down,down,up
2025-01-08,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,up,up,down,down,down,up
2025-01-09,down,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down
2025-01-10,down,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up
2025-01-13,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down
2025-01-14,down,down,down,down,up,down,down,down,up,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down
2025-01-15,down,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down
2025-01-16,down,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down
2025-01-17,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,up,down,down,up,down,down,down,down
2025-01-20,down,down,down,down,up,down,down,up,up,down,down,down,down,down,down,down,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-01-21,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-01-22,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-01-23,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,up,down,up,down,down,down,down,up
2025-01-24,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,up,down,up
2025-01-27,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-01-28,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-01-29,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-01-30,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up
2025-01-31,down,down,down,down,up,up,up,up,down,down,down,down,up,down,down,up,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-02-01,down,down,down,down,up,down,down,up,down,down,down,down,up,down,up,down,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-02-03,down,down,down,down,up,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-02-04,down,down,down,down,up,down,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,down,down,up
2025-02-05,down,down,down,down,up,down,down,up,up,down,down,down,up,down,down,up,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-02-06,down,down,down,down,up,up,down,up,up,down,down,down,up,up,down,up,down,down,up,down,down,up,down,down,down,down,down,down,up
2025-02-07,down,down,down,down,up,up,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,up,down,down,up
